Day,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio,Day
2020-11-09,0.0,0.0,0.0,0.4490397462441482,0.0,1.0,2020-11-09
2020-11-10,0.005194461951328555,0.010545528290407447,0.0036328709090990285,0.4601874611155874,0.005194461951328777,0.9935792089883835,2020-11-10
2020-11-11,0.00983854618961455,0.02068545933887611,0.006608478989249211,0.47197772496863744,0.009838546189614661,0.9886839038736586,2020-11-11
2020-11-12,0.014627848821843203,0.03082539038734522,0.010448985201129912,0.47888257672340817,0.014627848821843314,0.9833593705104144,2020-11-12
2020-11-13,0.018534223618900447,0.0405597241938751,0.014374636824942555,0.4790253653859884,0.018534223618900447,0.9806294233358481,2020-11-13
2020-11-14,0.022047056568373136,0.049280064895558695,0.017914893426326017,0.4790865605270941,0.022047056568373247,0.9781633613824252,2020-11-14
2020-11-15,0.025295592040870285,0.05881160008111941,0.022116894194128545,0.4727324650422756,0.025295592040870174,0.9774554783306968,2020-11-15
2020-11-16,0.028766311656099552,0.06732914216183294,0.025890180343957625,0.4709170091894703,0.028766311656099663,0.9749516775550662,2020-11-16
2020-11-17,0.03306622830074146,0.07544108700060814,0.03105865622614623,0.46541964568013294,0.033066228300741574,0.9693259315084153,2020-11-17
2020-11-18,0.036477408374454345,0.08416142770229129,0.03427177519221203,0.4670005201586994,0.03647740837445468,0.9672898392481644,2020-11-18
2020-11-19,0.03992489304665281,0.09207057392009732,0.03772838016082025,0.46721470315256963,0.03992489304665303,0.9643123389978303,2020-11-19
2020-11-20,0.04361779680461442,0.10200770634759682,0.04206631483188261,0.4630330351770069,0.04361779680461453,0.9626653069641486,2020-11-20
2020-11-21,0.046211397320430225,0.11052524842831035,0.0460188544805159,0.4538333656307689,0.046211397320430336,0.9631015211175766,2020-11-21
2020-11-22,0.04877595415745739,0.11721760292030003,0.04962184980648088,0.4469081154956296,0.0487759541574575,0.9617553720419845,2020-11-22
2020-11-23,0.05187781905207245,0.12492395051713645,0.05291115150953851,0.4458473997164625,0.05187781905207256,0.9597423935404765,2020-11-23
2020-11-24,0.05520622464123792,0.13202190225106447,0.056092901113313554,0.4471426968698685,0.05520622464123803,0.9564084182743717,2020-11-24
2020-11-25,0.05874664908555971,0.1431758264043803,0.05948377979902697,0.44829520536069434,0.05874664908555982,0.9565433782171406,2020-11-25
2020-11-26,0.06235242180715572,0.1510849726221859,0.06295233500088881,0.44953950656317887,0.06235242180715583,0.9532003081724625,2020-11-26
2020-11-27,0.0660482299329962,0.15960251470289988,0.06582188476091311,0.4554754352504411,0.0660482299329963,0.9502176345115751,2020-11-27
2020-11-28,0.06838043733971522,0.16629486919488912,0.06916795007192544,0.4486725753975134,0.06838043733971533,0.9496679960380714,2020-11-28
2020-11-29,0.07072426221794959,0.1711620360981545,0.0727022315566822,0.44075800381449715,0.0707242622179497,0.9472645360575003,2020-11-29
2020-11-30,0.07379417906589714,0.17805718921111335,0.07534771444320132,0.44390955358144557,0.07379417906589725,0.9446547751411098,2020-11-30
2020-12-01,0.07701512304354519,0.18779152301764324,0.07817991972430804,0.4467041316919437,0.0770151230435453,0.9444128345923675,2020-12-01
2020-12-02,0.07986285574876051,0.1946866761306021,0.08078357679443948,0.4485807826858548,0.07986285574876084,0.9425124468375512,2020-12-02
2020-12-03,0.0828238588012512,0.19894544717095908,0.08309893448732752,0.4533540036921069,0.08282385880125132,0.937689869954196,2020-12-03
